Datums_Laiks;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.01.2021;-0.1;0.1;0.4;0.3;0.2;-0.1;-0.2;-0.4;-0.7;-0.8;-0.8;-1.1;-1.2;-1.1;-1.3;-1.1;-1.6;-1.6;-1.9;-2.2;-2.3;-2.4;-1.6;-1.3
02.01.2021;-1;-1;-1;-0.9;-0.7;-0.9;-0.8;-0.9;-1.4;-1.3;-1.2;-0.8;-0.6;-0.4;-0.7;-0.8;-0.9;-0.9;-1.2;-1.6;-1.9;-2;-2.4;-3.1
03.01.2021;-2.9;-3.5;-3.3;-2.1;-1.5;-1.2;-1.5;-1.9;-2.6;-2.7;-1.8;-1.8;-1.3;-1.2;-0.9;-0.2;-0.6;-0.9;-1;-1.7;-2.3;-1.9;-2.1;-2.1
04.01.2021;-1.9;-1.7;-0.2;-0.6;-0.7;-0.4;-0.3;-0.2;-0.3;-0.5;-0.4;-0.2;-0.3;-0.2;-0.2;-0.3;-0.7;-0.7;-0.9;-1;-0.9;-1;-0.8;-0.9
05.01.2021;-0.9;-0.9;-0.9;-0.7;-0.4;-0.3;-0.1;0;-0.1;0;0.2;0.3;0.5;0.6;0.7;0.7;0.7;0.8;0.9;1.1;1.2;1;1;0.9
06.01.2021;1.1;1.2;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.2;1.3;1.3;1.3;1.1;1.1;1.1;1;0.9;0.7;0.6;0.7;0.5;0;0
07.01.2021;-0.1;-0.2;-0.4;-0.5;-0.7;-0.7;-0.8;-0.8;-0.9;-0.9;-0.8;-0.7;-0.6;-0.1;-0.4;-0.4;-0.1;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.4
08.01.2021;-0.4;-0.4;-0.5;-0.4;-0.4;-0.5;-0.6;-0.7;-0.7;-0.6;-0.5;-0.3;-0.1;0.1;0.2;0.2;0.1;-0.1;-0.1;-0.2;-0.4;-0.5;-0.5;-0.6
09.01.2021;-0.8;-1;-0.9;-0.8;-0.9;-1.1;-1.3;-2.1;-2.5;-2.9;-3;-3.4;-3.5;-3.4;-3.5;-3.2;-3;-3.3;-3.2;-3.2;-3.4;-3.7;-3.7;-3.6
10.01.2021;-3.5;-3.7;-4.4;-4.6;-3.9;-3.8;-3.8;-3.9;-3.9;-4.1;-3.9;-3.7;-3.1;-2.7;-2.2;-2;-1.8;-1.7;-1.5;-1.8;-1.4;-1.3;-1.1;-1.2
11.01.2021;-1;-0.6;-0.6;0.1;0.3;0.2;0.2;0.1;-0.1;-0.1;-0.6;-0.6;0.1;0.6;0;-0.4;-0.7;-1;-1.2;-0.9;0.4;0.8;0.7;0.7
12.01.2021;0.6;0.6;0.6;0.8;0.8;0.8;0.6;0.5;0.3;0.2;0.2;0.4;0.3;0.4;0.3;0.3;0.2;0.2;0.4;-0.3;-0.6;-1;-1;-0.8
13.01.2021;-0.5;-0.4;-0.5;-0.6;-0.6;-0.7;-0.7;-0.7;-0.9;-1.2;-1.8;-1.5;-1.5;-1.2;-0.6;-0.6;-0.4;-0.6;-0.7;-0.5;-0.5;-0.3;-0.4;-0.5
14.01.2021;-0.6;-0.7;-0.7;-0.8;-0.9;-0.9;-0.9;-1.1;-1.1;-1.4;-1.5;-1.9;-2;-2.4;-2.7;-3.2;-3.4;-3.5;-3.6;-3.7;-3.2;-2.9;-3.1;-3.4
15.01.2021;-3.4;-2.5;-4.7;-5.6;-5.8;-6.5;-6.4;-6.5;-6.5;-6.9;-7.1;-6.8;-6.5;-6.6;-6.3;-6.6;-6.5;-6.8;-7;-6.8;-6.4;-6.2;-6.2;-6.1
16.01.2021;-5.8;-5.9;-6;-5.9;-5.6;-5.5;-5.4;-4.7;-3.9;-4.4;-4.2;-4.9;-5.5;-6.2;-7;-7.6;-7.8;-8.2;-9.1;-9.4;-9.2;-8.7;-8.5;-8.3
17.01.2021;-8;-7.9;-7.8;-8;-8.1;-8.1;-8.2;-8.6;-8.7;-9.7;-9.8;-9.7;-9.1;-9;-8.6;-8.4;-8.8;-9.5;-9.7;-10;-10.3;-10.4;-10;-9.7
18.01.2021;-8.6;-7.8;-7;-6.4;-6.3;-5.3;-4.4;-4;-4.7;-4.7;-5.3;-5.8;-5.7;-5.2;-5.1;-4.8;-4.8;-5.1;-5.5;-5.7;-6.2;-6.2;-6.3;-6.6
19.01.2021;-6.6;-6.5;-6.6;-6.2;-6.1;-5.7;-5.2;-4.6;-4.6;-4.2;-3.8;-3.5;-4;-4.6;-4.4;-4.2;-5.1;-6.6;-7.1;-7.9;-8.6;-8.8;-9.1;-9.1
20.01.2021;-8.9;-8.8;-8.9;-8.8;-8.3;-8.2;-8.1;-8.1;-8;-7.9;-7.6;-7.4;-6.6;-6;-5.6;-5.8;-5.7;-5.7;-5.8;-5.6;-5.3;-5.1;-4.7;-4.4
21.01.2021;-4.1;-3.3;-2.8;-2;-0.8;0.9;2.1;4.1;4.1;3.1;2.9;2.5;2.4;2.7;2.8;2.9;3.1;3.4;4.1;4.2;4.9;4.7;4.8;4.9
22.01.2021;4.4;4.2;3;2.8;2.6;2.3;2.5;2.6;2.6;2.1;2;2.7;4.1;5.2;6.1;5.4;5.6;4.3;4.8;5.2;5.3;3.9;4.2;4.1
23.01.2021;3.8;4.7;4.1;4.2;4.2;4.5;4.5;4.7;4.4;4.3;4.7;4.7;5;4.7;4.9;4.6;3.5;3.1;2.9;2.7;2.7;2;1.9;1.7
24.01.2021;1.9;2.2;2.5;3.1;3.2;3.4;3.2;2.7;2.3;1.8;1.9;2;2.3;2.7;2.7;2.3;2.3;2.1;1.9;1.9;1.6;1.6;1.2;0.4
25.01.2021;0.1;0.2;0.2;0.2;0.3;0.3;0.5;0.5;0.7;0.9;1;1.2;2.1;2.7;2.5;2.4;2.4;1.8;2.1;1.6;2;1.9;2;2
26.01.2021;1.9;1.8;1.5;1;1.7;1.2;1.5;1.2;1.6;1.3;1.4;1.6;1.6;1.3;1.5;1.7;1.4;1.6;1.8;1.9;1.6;1.8;1.9;1.3
27.01.2021;1.2;1.4;1.4;1.7;1.9;1.7;1.9;1.3;1.7;1.7;1.6;1.8;1.6;1.2;1.4;1;0.4;0.9;1.3;1;0.4;1;0.8;0.5
28.01.2021;0.4;0.2;0.2;0.3;0.3;-0.2;-0.4;-0.5;-0.6;-0.5;-0.7;-0.9;-0.7;-0.3;0;-0.1;-0.2;-0.9;-1.1;-1.6;-1.8;-2.1;-2;-1.9
29.01.2021;-1.7;-1.7;-1.5;-1.7;-1.7;-1.5;-1.4;-1.2;-1.2;-1.1;-1.3;-1.1;-0.9;-1;-1;-0.9;-0.8;-1;-0.9;-0.6;-0.4;-0.5;0.3;0.3
30.01.2021;0.5;0.4;0.5;0.3;0.2;-0.1;0;0.1;0;0.4;-0.2;-0.3;0.2;0.3;-0.7;-1;-1;0;-0.1;-0.2;-0.2;-0.2;-0.2;-0.6
31.01.2021;-0.8;-0.8;-0.9;-1.1;-1.1;-1;-1;-1.1;-0.8;-1;-1;-0.4;-0.5;-0.8;-0.6;-0.3;-0.3;-0.3;-0.2;0.1;0.4;0.1;0.4;0.5
01.02.2021;0.2;0.6;0.1;0.5;0.4;0.3;-0.7;0.4;-0.1;0.1;0.5;0.6;0.6;1;0.7;1.1;1.3;1.1;0.4;-0.6;-1;-1.2;-0.8;-1.6
02.02.2021;-0.6;-1;-1.3;-1.4;-1.6;-2.2;-3.1;-3.6;-3.9;-4.2;-4.2;-3.7;-3;-2.4;-3;-3.8;-4;-4.4;-4.4;-4.3;-4.4;-4.3;-4.1;-3.8
03.02.2021;-3.9;-3.8;-4.1;-3.4;-0.6;-2.6;-4.8;-3.6;0.2;-0.1;-0.1;-0.1;0;-0.4;-0.1;-0.3;-0.1;-0.5;-0.2;-0.4;-1.1;-0.7;-0.9;-2
04.02.2021;-2.6;-2.4;-3;-2.6;-1.6;-2;-3.6;-4.3;-4.2;-4.9;-4.9;-4.9;-4.5;-4;-3.6;-3.4;-3.2;-3;-3;-2.7;-2.8;-2.6;-2.4;-2.4
05.02.2021;-2.1;-3.1;-3.5;-1.8;-1.5;-3.2;-4.7;-5.4;-3.7;-4.2;-5;-6.2;-6.2;-5.8;-5.6;-5.8;-5.2;-5.5;-5.4;-5.8;-6.8;-7.6;-8.7;-9.1
06.02.2021;-9.5;-11.5;-10.7;-10;-9.7;-9.7;-8.5;-9.1;-9.1;-9.1;-9.1;-8;-6.6;-6.2;-5.7;-5.5;-5.3;-5.4;-6.9;-5.3;-7.4;-8.6;-8.3;-3.8
07.02.2021;-7.7;-9.4;-9.6;-7.3;-6;-7.4;-8.2;-8.4;-10.1;-11.4;-10.6;-9.2;-6.8;-5.5;-5.8;-5.5;-5.3;-4.6;-5;-5.9;-7.2;-7.8;-7.5;-7.8
08.02.2021;-8.1;-8.3;-8.2;-8.6;-8.2;-8.7;-9;-9.1;-9.4;-10.3;-10.6;-10.5;-10.3;-6.4;-5.4;-5.1;-4.9;-5.6;-7.8;-8.3;-8.5;-8.5;-9;-8.6
09.02.2021;-8.2;-7.9;-7.2;-7.1;-6.9;-6.7;-6.9;-6.8;-6.7;-6.6;-6.3;-6.3;-6.4;-6.5;-6.2;-6.2;-6.5;-6.8;-7;-7.4;-7.6;-8.1;-7.9;-7.6
10.02.2021;-6.8;-6.7;-6.8;-7;-7;-7.3;-7.3;-7.5;-7.6;-7.8;-7.8;-7.8;-7.4;-7.8;-7.8;-8;-8.1;-8.3;-8.5;-8.4;-8.2;-8;-8;-8.1
11.02.2021;-8.2;-8.3;-8.5;-8.2;-8.3;-8.3;-8.5;-8.9;-9.3;-9;-7.8;-6.9;-6.8;-6.8;-6.6;-6.1;-6.7;-6.7;-7.4;-7.8;-7.9;-7.3;-7.3;-6.7
12.02.2021;-7.4;-7.3;-7.6;-6.7;-7.1;-7.3;-6.7;-6.5;-6.3;-6;-5.8;-5.1;-4.5;-3.9;-4;-4.4;-4.1;-4;-3.2;-3.7;-3.9;-3.5;-0.3;0.3
13.02.2021;0.5;0.4;0.5;0.4;0.8;0.7;0.6;0.8;0.8;0.9;0.9;0.8;0.7;0.7;0.9;0.1;-0.3;0.2;0.5;0.5;0.6;0.5;0.7;0.7
14.02.2021;0.7;0.5;0.5;0.6;0.9;0.3;0.7;0.4;0.6;0.3;0.9;-0.4;-0.2;1.1;-0.1;0.2;-0.3;-0.6;-0.7;-0.8;-1.1;-2.4;-1.3;-1.3
15.02.2021;-1.1;-1.3;-1.1;-1.5;-1.8;-2.3;-1.5;-2.4;-3.8;-3.4;-2.5;-2.1;-1.2;-1.5;-1.3;-1.7;-1.6;-1.4;-1.6;-1.8;-2;-2.7;-2.4;-3.5
16.02.2021;-0.7;-4.2;0.5;0.6;0.6;0.5;0.5;0.6;0.6;0.8;1;1.1;1.5;1.4;1.3;1.3;1.3;1.3;1.3;1.2;1.3;1;0.9;0.9
17.02.2021;0.8;0.3;-1.7;-1.6;-2.1;-3.1;-3.9;-4.5;-5.4;-6.8;-6.9;-6.7;-6.1;-5.7;-5.3;-5.4;-5.6;-6.5;-7.8;-8.7;-9.2;-9.3;-9.2;-9.5
18.02.2021;-9.7;-10;-10.2;-10.3;-11.2;-11.2;-11.8;-12.7;-13.7;-13.6;-12.6;-12.3;-10.7;-10.4;-9.2;-8.7;-8;-8.5;-9.7;-10.8;-11.8;-12.3;-12.6;-13
19.02.2021;-13.4;-13.7;-14.1;-14.2;-13.9;-13.8;-13.6;-13.4;-13;-12;-10.7;-8.9;-7.6;-6.7;-5.8;-4.4;-4.2;-4.3;-4.1;-3.8;-3.5;-3.5;-3.3;-3.4
20.02.2021;-3.5;-3.4;-3.6;-3.7;-4;-3.7;-3.6;-3.5;-3.2;-2.8;-1.9;-0.9;0.5;0.8;1.1;1.2;1.6;1.5;1.8;2.1;2.2;2.1;2.2;3.5
21.02.2021;3.8;3;3.5;2.9;2.7;2;3.2;2.5;2.3;3.3;4.1;4.2;4.4;4.4;4.1;5.2;5.1;5;4.3;4.3;4;3.9;4.1;4.4
22.02.2021;3.5;2;2.8;2.6;2.6;2.5;2.4;2.5;2.7;2;2.5;3.1;3.3;4.1;4;4.3;2.4;1.5;1;4;2.3;1.6;1.3;1.2
23.02.2021;0.9;0.8;0.7;0.7;0.4;0.7;1.1;1.3;1.7;2.3;3.4;4.8;5.2;5.6;5.9;4.1;3.2;3.3;3.1;3.2;3.4;2.9;2.8;2.3
24.02.2021;2.4;2.2;2.5;2.4;2;2.2;2;2.3;1.5;2.7;2.6;3;2.9;2.9;5;4.7;5.4;4.8;3.8;3.7;3.2;2.9;3.3;3.8
25.02.2021;3.6;3.4;3.7;3.5;3.4;3.3;3.8;4.2;3.7;4.1;4.2;5.1;4.3;4.7;5;5.2;3.9;5.7;5.5;5.8;4.7;3.9;3.7;3.6
26.02.2021;3.7;3.4;4;4;3.6;3.7;3.2;2.9;3;3.1;3.1;3.6;3.7;3.7;3.8;3.9;3.9;3.4;3.1;3.1;3.2;3.1;3.5;3.6
27.02.2021;3.2;2.8;2.6;2.8;2.5;2.4;2.4;2.1;2.1;2.4;2.5;2.6;2.7;3;3.4;3.3;2.6;2.5;1.9;1.8;2;2;2.4;2.6
28.02.2021;2.5;2.3;2.6;2.2;2.3;2.5;2.4;2.2;2.6;2.7;2.9;3.2;3.5;3.7;4;4;3.9;3.8;3.1;2.9;3.4;2.8;2.3;2.7
01.03.2021;1.8;1.6;2;2.3;2.1;2.3;2.9;2.8;3;3;3.6;4.2;5;4.7;2.8;3.2;4;3.4;2.8;2.4;2.4;2.5;2.6;2.5
02.03.2021;2.7;2.5;2.5;2.6;2.9;3;3.2;2.9;2.6;2.8;3.3;3.6;3.5;3.8;4.6;4.1;3.3;3.1;2.8;2.6;2.4;2.5;2;2
03.03.2021;1.8;1.7;0.7;1.4;1.3;3.2;2.5;2.7;3;2.9;1.5;1.3;1.5;1.7;1.8;1.7;1.8;1.7;1.6;1.4;1.5;1.1;0.8;0.7
04.03.2021;1.1;1.4;1.9;2.2;2.1;1.8;1.7;1.4;1.3;1.3;1.4;1.4;1.6;1.5;1.3;1.3;1;1.1;1;1.3;1.3;1.1;0.6;0.2
05.03.2021;0.4;-0.1;-0.4;-0.6;-0.5;-0.5;-1;-0.6;-0.4;-2.5;-1.6;-1.9;-0.7;-1.3;-1.1;-1.9;-0.7;-0.1;-1.4;-0.9;-1;-0.5;-0.4;-0.5
06.03.2021;-0.7;-1;-0.9;-0.5;-0.4;-0.1;0.1;0.6;1.1;1.6;2;2;2.1;2.1;2.1;2.3;2.3;2.3;2.2;2.7;2.6;2.7;2.7;2.8
07.03.2021;3.2;3.1;-0.1;-0.1;0.6;1.8;1.4;0.9;0.9;1.1;1.2;0.9;0.9;1;0.2;0.2;-0.4;-0.1;-0.4;-1.4;-0.4;-0.5;0;-0.9
08.03.2021;-0.8;-1.2;-1.2;-1.2;-1.6;-1.6;-1.6;-1.7;-1.8;-2.5;-2.1;-1.8;-1.4;-0.8;-1.1;-1.1;-1;-1.2;-1.3;-1.2;-1.3;-1.5;-2.9;-4.1
09.03.2021;-4.7;-4.6;-4.2;-3.8;-3.6;-2.7;0.2;0.4;0.7;1.2;1.4;1.9;1.8;1.8;1.8;1.8;1.7;1.8;1.6;1.5;1.7;0;0.2;0.5
10.03.2021;-0.9;0;0.5;0.4;-0.2;-0.3;-0.2;-0.4;-0.3;-1.3;-1;-2.2;-2.6;-2.7;-3;-3.1;-3.3;-3.4;-3.5;-3.6;-3.6;-3.5;-3.5;-3.4
11.03.2021;-3.2;-3.5;-3.6;-4;-4.4;-4.6;-4.6;-4.1;-3.8;-2.2;-0.8;0.6;1.3;1.9;2.3;2.3;2;1.3;0.7;-0.1;-1.2;-1.1;-0.7;-1.4
12.03.2021;-0.7;-0.5;-0.5;-0.1;-0.3;0;0.6;0.7;1.5;2.6;2.9;3.1;3.2;3.3;3.3;3.2;2.9;3;2.8;2.9;2.8;2.6;2.5;2.5
13.03.2021;2.5;2.3;2.5;2.3;3;3;3.5;3.6;3.3;3.1;2.6;2.9;3.6;3.1;3.8;3.3;2.8;2.1;2.4;2.1;2.2;2;1.2;1.1
14.03.2021;1.4;1.6;1.7;1.8;1.2;1.3;3.1;3.3;3.5;4;4;3.8;3.7;3.9;3.2;2.9;2.6;2.6;2.1;1.8;1.4;1.1;1.6;1.6
15.03.2021;1.7;1.7;1.6;1.5;1.7;1.9;2.4;2.5;2.5;3.8;3.2;3.8;2.9;2.4;3.2;3.3;2.6;2.9;2.8;3;3.1;3.1;2.7;2.5
16.03.2021;2.6;2.7;2.6;2.6;2.2;2.3;2.2;1.8;2.2;2.5;2.3;2.4;1.4;1.3;0.9;0;0.1;-0.8;-1.1;-0.8;-0.9;-0.8;-0.5;-0.2
17.03.2021;0.2;0.3;0.3;0.7;1;1.1;1.3;1.2;1.2;1.4;1.8;2;1.9;2.2;2.3;1.9;1.5;1.4;1;1;1;0.9;1.2;1.2
18.03.2021;1.1;1.1;1.1;0.8;0.8;0.9;0.9;0.8;0.9;1.1;0.9;1.8;1.8;1.8;2;1.8;2;1.9;0.9;1.1;1.1;0.7;0.4;-0.2
19.03.2021;-0.9;-1.5;-2;-2.1;-1.9;-1.8;-1.5;-2.4;-2.1;-2.1;-2.2;-2.3;-2.2;-2.6;-2.7;-2.4;-1.6;-1.9;-2.4;-2.6;-3.5;-3.1;-3.3;-3.4
20.03.2021;-3.6;-4.2;-4.6;-4.9;-5.8;-5.4;-4.6;-4.7;-1.8;-1.2;-0.6;0.1;0.3;0.7;1.3;1.4;1.5;1.5;1.6;1.7;2;2;2.2;2.4
21.03.2021;2.6;2.7;2.4;2.4;2.5;2.7;2.6;2.3;2.4;1.8;2.3;3.4;3.3;3.3;3.1;3;2.8;2.7;2.5;2.4;2.4;2.3;2.2;2.3
22.03.2021;2.3;2.2;2.3;2.2;2;1.9;1.8;1.7;1.9;2.5;2.7;2.6;2.7;3.1;3.2;3.5;3.3;2.9;2.5;2.4;2.4;2.3;2.3;2.2
23.03.2021;2.1;2.3;2.6;2.7;2.4;2.9;2.1;2.3;2.1;4;4.3;4.1;3.8;4.1;4.5;4.5;4.5;4;4.1;3.2;2.9;3;3.3;3
24.03.2021;3;0.8;0.2;0.4;0.6;1;1.5;2.6;2.9;3;3;4.1;4.4;4.7;4.4;4.3;4;3.8;3.4;3.1;3.4;4;4;4.2
25.03.2021;4.1;4.1;4.4;4.7;4.6;4.7;4.4;4.7;4.6;4.8;5;5.1;4.7;4.6;4.5;4.2;4.1;4.5;4.3;3.6;3.7;3.3;3.3;3.2
26.03.2021;2.8;2.6;2.8;3.3;3;3.7;3;3.5;4.5;5.1;2.6;2.9;2.3;2.2;2.5;3.3;2.3;2.1;5.7;4.5;3.9;3.7;3.6;2.7